,Parameters,Minimum,Maximum,Mean,Median,STD,Sample_Skewness,Kurtosis
0,Earthquake Magnitude,4.0,7.9,5.425512744516894,5.19,1.1275275908548068,0.3831608272556515,-1.199243488981102
1,Hypocenter Depth (km),1.8,25.2,10.148538622143187,9.557,3.7947936175890145,0.45243962209521577,-0.31341757995732156
2,Joyner-Boore Dist. (km),1.0,498.58,120.6147256800369,97.96,92.71760942741082,1.0448311972252842,0.7884968474225689
3,Vs30 (m/s) selected for analysis,89.32,2100.0,452.599471250741,402.6,193.44843682521832,1.6209499213768164,4.707929686199671
4,PGA (g),5.4334e-07,1.7683,0.03539177074373839,0.0077285,0.07755820067088698,5.690196536934258,58.02766931274949
5,PGV (cm/sec),7.8366e-05,121.69,3.3619005018577357,0.50214,7.8108450435825265,5.094314230973181,37.30196014426802
6,log10(Joyner-Boore Dist. (km)),0.0,2.6977348532615206,1.9174343656151371,1.9910487764526763,0.43359137874216547,-0.9491107247731712,1.0332677153239138
7,log10(Vs30 (m/s) selected for analysis),1.9509487143994,3.322219294733919,2.6210003756448064,2.604873770552636,0.1717813340196816,0.14733427333639013,0.21102878329823893
8,PSA,5.4363e-07,1.7932,0.035663116522542976,0.0077762,0.07833838148322536,5.747133321223741,59.3046893199082
