,SID,EID,Mag,Rjb,logRjb,logVS_30,H,FM,T0.000S,T0.010S,T0.020S,T0.022S,T0.025S,T0.029S,T0.030S,T0.032S,T0.035S,T0.036S,T0.040S,T0.042S,T0.044S,T0.045S,T0.046S,T0.048S,T0.050S,T0.055S,T0.060S,T0.065S,T0.067S,T0.070S,T0.075S,T0.080S,T0.085S,T0.090S,T0.095S,T0.100S,T0.110S,T0.120S,T0.130S,T0.133S,T0.140S,T0.150S,T0.160S,T0.170S,T0.180S,T0.190S,T0.200S,T0.220S,T0.240S,T0.250S,T0.260S,T0.280S,T0.290S,T0.300S,T0.320S,T0.340S,T0.350S,T0.360S,T0.380S,T0.400S,T0.420S,T0.440S,T0.450S,T0.460S,T0.480S,T0.500S,T0.550S,T0.600S,T0.650S,T0.667S,T0.700S,T0.750S,T0.800S,T0.850S,T0.900S,T0.950S,T1.000S,T1.100S,T1.200S,T1.300S,T1.400S,T1.500S,T1.600S,T1.700S,T1.800S,T1.900S,T2.000S,T2.200S,T2.400S,T2.500S,T2.600S,T2.800S,T3.000S,T3.200S,T3.400S,T3.500S,T3.600S,T3.800S,T4.000S,T4.200S,T4.400S,T4.600S,T4.800S,T5.000S,T5.500S,T6.000S,T6.500S,T7.000S,T7.500S,T8.000S,T8.500S,T9.000S,T9.500S,T10.000S,T11.000S,T12.000S,T13.000S,T14.000S,T15.000S,T20.000S
323.0,76.0,404.0,6.359999870061875,42.76000049114228,3.7556033397944777,5.788858668893042,4.600000024437905,2.0,0.005244078308271516,-0.039852504397575025,-0.038337360451096425,-0.038962082284930775,-0.03804211348754529,-0.03912303697991135,-0.0391390515079468,-0.038366411439222925,-0.03863249670582346,-0.03909452668547552,-0.03829700459049113,-0.037583003964116235,-0.03813291823283152,-0.03818719955241688,-0.038155550235637006,-0.03795836264558062,-0.0383357657630487,-0.04054099000725529,-0.039412900425624675,-0.03849869576110821,-0.040305789128852874,-0.043145530392606476,-0.0436191950555703,-0.04659142785323462,-0.047300872714808165,-0.04905448509787438,-0.05230085657147458,-0.05244883349904179,-0.051342911974574815,-0.050946918671340116,-0.0565856544130072,-0.059405373368689014,-0.06211523719719452,-0.0688240964333124,-0.07115936320488364,-0.0762440936716722,-0.09299503611876252,-0.09552844434121434,-0.10915853783078629,-0.08293997782569837,-0.09307946102448955,-0.09913760939872411,-0.0939565110521032,-0.06980321582481372,-0.06713360794057253,-0.06797854074957009,-0.07350247540524615,-0.07555437324507977,-0.07994630957595358,-0.07313592480390216,-0.07541168502796833,-0.08217422248776263,-0.08114591693467868,-0.09038633299128077,-0.09634625080354547,-0.1041525777729007,-0.11872421962033586,-0.12442939769929993,-0.12042609122858948,-0.11104114109628767,-0.12361710711005641,-0.12774873625286554,-0.12593735789782845,-0.09932522876094328,-0.08941819120892525,-0.09547801292634116,-0.10604789046740128,-0.08476250232301255,-0.08247515318884918,-0.09575397275953543,-0.08715852787057353,-0.08139000252409753,-0.08755690389890743,-0.07597314909660904,-0.06062523986203971,-0.043812788329599395,-0.0345174614147494,-0.03066486414776977,-0.026637112511267304,-0.028734721602042507,-0.033503552291506034,-0.03394080333919105,-0.031856403179236686,-0.021217288106133318,-0.014552597373955348,-0.012432707252773043,-0.012594215365069123,-0.012414391553141795,-0.01165067412130173,-0.01046355114743044,-0.009728718739245626,-0.010274183925737585,-0.009679285252188936,-0.00886104161732558,-0.007755048330312093,-0.006865981445392508,-0.005873080558872892,-0.005869994598143468,-0.006385171298313974,-0.005686881047471736,-0.00460586110038972,-0.0038277235837341247,-0.003258098137408242,-0.002629194292056646,-0.0020953513785803976,-0.0016992237765765033,-0.0012403576933983124,-0.0010106688148876848,-0.000852967204956842,-0.0007130924882583599,-0.0005864978695996759,-0.0002487243825653284
581.0,109.0,53.0,7.299999939203263,54.80000113010407,4.003689953151441,5.878939519405312,14.999999651908876,2.0,0.018203764237976677,-0.13767115205805555,-0.13895769912409872,-0.1370543422392854,-0.13580171912235595,-0.13367429433321046,-0.1348082786194172,-0.1320713046086258,-0.13640746515375543,-0.1353526513132637,-0.14001399344594087,-0.13770360511878993,-0.13802094320796904,-0.13781250108342533,-0.13558294234551593,-0.13040046895201143,-0.1309324840606373,-0.14158427032453091,-0.13104104914868828,-0.13870779480753195,-0.14373001035977584,-0.14534319897490172,-0.1360103707516464,-0.14081180733362608,-0.14587648897371588,-0.16231333526559963,-0.14612451635071033,-0.1464546002973825,-0.14763118859632654,-0.1484332415090514,-0.17072602184925936,-0.17032557844779272,-0.1571146581713012,-0.16556584506074729,-0.17519382335817882,-0.16499288240762042,-0.18477918991046927,-0.19905149241020662,-0.19966441041009103,-0.19142618167372877,-0.22603966309983525,-0.22948207178253205,-0.2328763416170647,-0.2547441280667017,-0.26125893394166744,-0.2754863723984825,-0.2911854459698592,-0.30588273300892926,-0.3373127549995766,-0.3831230116585964,-0.39584876143594255,-0.37603877354164245,-0.3846683334156113,-0.38201967317720453,-0.36065793630079435,-0.3907161801419794,-0.4291513766422148,-0.4289016605763905,-0.40008709430243916,-0.5097895973343038,-0.41999524731530197,-0.3443582557487316,-0.31402457002130785,-0.3031597719531973,-0.359733691884511,-0.3598374272410619,-0.30789102361363074,-0.30398180289965476,-0.32216988563940013,-0.2925585329256273,-0.2029671667675323,-0.20999816868644147,-0.1593174143071934,-0.1333319490585199,-0.15774881410749106,-0.1650168702406067,-0.1664910555243243,-0.14282332108677534,-0.13528724711020038,-0.16511742670487672,-0.14551696435893205,-0.14930802447686387,-0.14516549369771958,-0.13285293772587017,-0.1067299480324174,-0.08038529587403011,-0.06530209074373153,-0.059674066023500796,-0.05373209961086168,-0.0457354830486753,-0.039958461891923355,-0.03420642273136099,-0.029347397300459724,-0.026734205357922817,-0.024293501395163546,-0.02201763895821808,-0.017467104766223242,-0.014916678913916097,-0.012730978155338971,-0.01108519923674288,-0.01081163666408362,-0.00965452262327707,-0.007947648014597908,-0.007683530719741009,-0.007199008567818102,-0.005996615981947218,-0.0050783837779636975,-0.004019563905620204,-0.003321215626824159,-0.002710382178033473,-0.0021874798759598407,-0.001035579590705342
869.0,125.0,337.0,7.280000015497209,151.70000158309935,5.021904621401331,5.85630323460569,6.999999885559083,0.0,0.0010747792188809022,-0.03442029272774351,-0.03425230562571509,-0.034152374590586586,-0.0341688326344557,-0.0341488948266684,-0.03428276622151514,-0.03455746871212917,-0.034395659684892985,-0.0344663800904493,-0.034503961512386855,-0.0348532798905359,-0.03476903473520082,-0.03468079403988713,-0.03460975148240776,-0.03468976877510511,-0.03480602138038475,-0.0355117874972257,-0.03531057531184088,-0.03550871863967857,-0.036097107830359576,-0.03686533450417677,-0.03670264417257843,-0.03681776597265072,-0.03701376690802105,-0.03796852290941226,-0.03827855356404393,-0.04130149354436277,-0.045220474719259295,-0.04710718429341125,-0.05451705042005034,-0.057260935847908735,-0.057108767799380636,-0.06023568876288363,-0.06383884446386295,-0.07586519948192645,-0.08764709905995692,-0.10066185756526809,-0.10722256260995276,-0.10942209023290193,-0.12283387313815464,-0.11537410706705631,-0.11209424922101498,-0.1386156591185458,-0.13409709268447725,-0.1326133275376664,-0.1445545646631294,-0.12279586539053251,-0.12176564603722659,-0.11861199911687834,-0.11287320534967965,-0.10892318220643091,-0.09779445599043568,-0.09794139104680923,-0.10421477663485405,-0.10683734978981785,-0.09692629579569002,-0.0878419978794548,-0.08330139958781119,-0.0744945289381371,-0.07301776189492491,-0.07044115643449342,-0.0664144779424916,-0.06786180288263566,-0.05495456335220274,-0.05061713351065424,-0.047638412774888214,-0.04673566866384083,-0.04908408823364214,-0.04552394033615025,-0.039558162808175805,-0.041029646423313096,-0.035528337363728686,-0.03257816083771019,-0.03789494860298527,-0.04036969447235712,-0.03677113747293241,-0.034911787509566625,-0.032214862085546414,-0.025876603315842454,-0.026075577291847875,-0.02441880694284169,-0.02305300148071541,-0.02298939237126343,-0.02083230031757431,-0.01728481712389506,-0.01668039352377445,-0.016692020815603097,-0.01789597260926426,-0.019013818493690687,-0.020551555234206237,-0.02091570872529172,-0.01917934613552253,-0.01627542663568936,-0.013866027409602544,-0.01299806637241766,-0.011195927124392826,-0.011324633466618269,-0.009684781236741474,-0.009238753337421893,-0.010762951910802315,-0.012780666286989534,-0.013631513325699054,-0.01354061032903701,-0.013017063334105204,-0.01239496583964575,-0.010673624571914118,-0.008777775636777566,-0.00713103628636884,-0.00592927152988838,-0.004911590955178464,-0.0021466009752598592
881.0,125.0,222.0,7.280000015497209,26.83999925136566,3.289893407234272,5.84258742789198,6.999999885559083,0.0,0.05119036732437272,-0.12745516163734374,-0.1121618828054082,-0.10457459865337684,-0.11542708564274443,-0.10949165524849036,-0.1142015645817889,-0.11925006989635775,-0.11426070211838557,-0.10743030662190826,-0.08724205949485941,-0.09493554430597598,-0.10823190912021369,-0.1194868728742502,-0.11942705384940636,-0.11485168874665913,-0.09861000781102827,-0.08034478689439506,-0.08300919323607925,-0.07342197074330076,-0.06778824366694122,-0.08852140637506131,-0.08035466168894195,-0.10561686676273137,-0.1118829380521054,-0.10905931580478732,-0.1108432433440767,-0.1070319240638638,-0.10410858113733053,-0.10960163157757932,-0.12566479451801052,-0.12487704964646823,-0.12466538741542943,-0.15031885212994942,-0.15212929951915538,-0.21808498870429976,-0.2509472729845266,-0.2527817144651267,-0.27757510589590023,-0.30609661758860335,-0.28911624968356997,-0.2804436012060416,-0.2439755276254748,-0.22210450585743305,-0.2939211578905967,-0.31059609761281,-0.3011925580341905,-0.3382503659836231,-0.34796275405002963,-0.3320907633501323,-0.390064706638604,-0.43574650088356337,-0.4437673909706304,-0.4208302818591487,-0.43458297284282454,-0.45956843233599015,-0.4739690804055478,-0.5242250671732879,-0.7084080072247497,-0.7907560249821274,-0.7104381172117165,-0.6582869841613935,-0.5353930767589364,-0.4102753605447823,-0.3003093806018229,-0.27746738325651743,-0.26186211033798046,-0.2179987498536196,-0.19329761502547912,-0.20203427261143195,-0.21835376396462886,-0.20035453471222278,-0.20910770344927287,-0.24702503594520364,-0.2806098903770791,-0.2537526794519388,-0.2529796117891631,-0.21053287348311941,-0.15743284900592314,-0.11037791400612723,-0.08193897472463484,-0.0729255333266201,-0.0664081559907494,-0.053012765283703814,-0.043903955324743296,-0.03032552276240736,-0.024809139548672268,-0.021825396886184078,-0.020832797387085513,-0.020304933050844996,-0.02130649652252745,-0.02022768995656548,-0.016427183371402726,-0.012569082025694962,-0.00995307789749449,-0.008655228930661424,-0.010143328755041424,-0.008603138350976995,-0.005500850160583931,-0.004693924896007203,-0.004667181969758297,-0.0038081777340301442,-0.003372088101766926,-0.003153897912424236,-0.002024296389866435,-0.0010831477778320358,-0.0012177538181407967,-0.0021032518857394327,-0.0022024366901664903,-0.0019466929828117468,-0.0014497196714565634,4.507848538711661e-05
902.0,126.0,1291.0,6.460000010728837,111.27000143051148,4.711959731951228,5.915123360377306,13.000000398159028,0.0,0.0022433358450324238,-0.20203690821195877,-0.20291497364083216,-0.20383784816149925,-0.20299355494870772,-0.20515572355165973,-0.2062133771144885,-0.20658373982905515,-0.2038618858176283,-0.20448715257723749,-0.20672385647418087,-0.2065403408639589,-0.2050881843010855,-0.20483403100725825,-0.20567488785932855,-0.21115263995809094,-0.21351821559248482,-0.21292105146358423,-0.20828305812357287,-0.21809546275005148,-0.22064271121628462,-0.21835130096723915,-0.23000389729659468,-0.23910605865020576,-0.25923820555931854,-0.27915423016917285,-0.2880154327703018,-0.2691730395328757,-0.3063801849745291,-0.3368858407979974,-0.3926868601053925,-0.3883545863666655,-0.3560234666264908,-0.38413416337082057,-0.3617430783258357,-0.3947741858270237,-0.3973389320123182,-0.4023148198617147,-0.44620174554737774,-0.39123959948960424,-0.38606701954766565,-0.39623559942548464,-0.4346310552708,-0.4785829824409573,-0.4353132141303458,-0.4643196256412602,-0.48805191439329126,-0.5503351096397168,-0.5508955172338299,-0.5531987520244007,-0.5038789677320991,-0.5880456190851719,-0.6758101277031013,-0.6286622915867366,-0.6077836800264256,-0.5586557707332398,-0.4665261372409898,-0.404316395234398,-0.39228138166358634,-0.4408287420807738,-0.4330653261114255,-0.4027322680817525,-0.33585894875559297,-0.2927376235678026,-0.30682738348057076,-0.3395262006065329,-0.31927087041078883,-0.3527404433321562,-0.350012987399498,-0.24778732111624044,-0.2321070936412841,-0.2034246786966069,-0.15591483886982654,-0.11544039314884953,-0.0986907978229356,-0.08603590109627618,-0.07551462468286628,-0.07204657571503682,-0.06660464980500463,-0.05081621389293822,-0.039116491589732016,-0.03868627174596253,-0.03672549857741156,-0.02862904327000311,-0.02565589399008803,-0.020749637773729963,-0.01669534039903826,-0.016400354358738274,-0.015606403371033835,-0.013668321931173606,-0.011650992685087498,-0.009694574862411279,-0.007938915870947461,-0.006765619873428984,-0.0057641751592665096,-0.0050590469590136525,-0.003764379070050771,-0.0029098279440468882,-0.0023571256046481595,-0.001985604236085938,-0.001719814485441252,-0.0015169427396347214,-0.001350557376462307,-0.0012066379875214606,-0.001080649560156243,-0.0009703613983445671,-0.0007895021913108282,-0.0006504601012670991,-0.0005434779874983584,-0.00046829715185239134,-0.00040656713498808114,-0.00022139052260088956
1145.0,136.0,592.0,7.50999992132187,207.80999773025516,5.336624410753154,5.418763561466703,15.9999999666214,0.0,0.001641080563449677,-0.016194432788178947,-0.01616451934452064,-0.0161454686009864,-0.016210500964846147,-0.016269250464252538,-0.016301765741789796,-0.016308445617942532,-0.01636482118223305,-0.016386956037567783,-0.016212048121602245,-0.016204924852251116,-0.016280033885908055,-0.01632586672921892,-0.016336257674211246,-0.01631706928264396,-0.016247264937877356,-0.016220309463732638,-0.016481594379729216,-0.016783178458804802,-0.01673481797865524,-0.01689456573130125,-0.01702611185202411,-0.01705156006532421,-0.017040506716724114,-0.01666578534443054,-0.017086182135147295,-0.017213073580503554,-0.01680390203601218,-0.018245239266846843,-0.018492942890104294,-0.018159687908421825,-0.019065473141955402,-0.017988824583791346,-0.016823171577919186,-0.0180476371930981,-0.021368051424483156,-0.022784342684697454,-0.021321173654336452,-0.023837066808888318,-0.03268719919255875,-0.03566356123438829,-0.036715900061827816,-0.03328021813815089,-0.0308397306087574,-0.02929948270972893,-0.028022909714677913,-0.03344391080292033,-0.03488647114547101,-0.034966306988770735,-0.036655408759102046,-0.03722486571662367,-0.03468037380781353,-0.036534924592280436,-0.041095769486211006,-0.0456628745225962,-0.05184134894404333,-0.051782762059357536,-0.04348647266540369,-0.03848795909156226,-0.03596423323698056,-0.037318499237920306,-0.04255235880471944,-0.029930142711195075,-0.025591992307300686,-0.025117753269852647,-0.026827005395308724,-0.027248442763570482,-0.025972848876579586,-0.027778025601489835,-0.03097697089426224,-0.02658737286958142,-0.024234512797856867,-0.024667471498376125,-0.02442666054354093,-0.024246267558423875,-0.019998843413878288,-0.02078636392237389,-0.018349688638391974,-0.016499175007896626,-0.013773927564231958,-0.013665689924677048,-0.01370369301564707,-0.014365452023107968,-0.013706356807111535,-0.010742708101512372,-0.01148094674343339,-0.012554922798830578,-0.013229463336097706,-0.012709011336319647,-0.010579583339968161,-0.009668882208040283,-0.008934944625892397,-0.009606530987936204,-0.009253302189673141,-0.008669551248841802,-0.007492560426246796,-0.006585248899722972,-0.005669686848110384,-0.004699548085337954,-0.003664796655661641,-0.0028847209374944557,-0.0024952717731493664,-0.0021691596711436367,-0.0018947795024411842,-0.0016998445602155574,-0.0012521234236851446,-0.0010135068907388177,-0.0007755249701426455,-0.0005853969244486338,-0.0004614443498001591,-0.00021071885003697303
1152.0,136.0,614.0,7.50999992132187,126.03000455856322,4.836519871912386,5.83352335342683,15.9999999666214,0.0,0.0025384356641785116,-0.007183798248221833,-0.007107183127184613,-0.007090101698277908,-0.007126002638278287,-0.006977519075829964,-0.006829985787604949,-0.006461605788802752,-0.006506628945490544,-0.006669283677700031,-0.006862577581814806,-0.0070045432689029765,-0.006970652836043812,-0.006981888933811745,-0.007061099420468101,-0.007051950858487188,-0.007018997308508438,-0.007049324273653183,-0.006623817210599609,-0.006460181506835843,-0.006369504135165319,-0.0063999256467738505,-0.006126661867685188,-0.0058785801578769056,-0.004984459830290338,-0.004847374004876624,-0.004071703504760599,-0.0042226488816007645,-0.00531506666383732,-0.004626892110370779,-0.0050328931083572104,-0.005356569729848855,-0.0060225851214390416,-0.005416125850817972,-0.005489632905698494,-0.005671474902630055,-0.005605441016592563,-0.005952392933494311,-0.0054734367052566716,-0.005191340628629224,-0.005474346339437466,-0.00692010568671197,-0.008560468128398807,-0.00890781307456932,-0.008364205709325476,-0.00856871077995318,-0.01060471329398513,-0.013350237664500858,-0.01342895311775132,-0.012902990419719408,-0.011644227691509076,-0.011263951038236995,-0.011934764531830372,-0.013171851586464209,-0.014407784071598052,-0.014989135585401756,-0.016124798267835264,-0.018022432981463016,-0.020974906080421424,-0.02401427655768436,-0.026130392293464942,-0.027844357456957264,-0.028038401024751948,-0.028034388862057124,-0.024723121181687988,-0.022600084566406588,-0.023187580070574455,-0.020812081181308846,-0.02018607911962131,-0.019193705925523954,-0.021527567664028368,-0.019713227288589992,-0.020477406665614352,-0.022224616728708676,-0.021356003076471775,-0.017357198064604076,-0.01407839042195349,-0.011628174403874477,-0.011452837491426875,-0.013108705549616247,-0.012230599256599174,-0.010914727877556575,-0.010232400013021281,-0.00875116353545248,-0.008738183099465257,-0.007528607981811256,-0.006215346624802269,-0.005856484303423571,-0.006015006098722521,-0.006641941080371268,-0.0063040952562544265,-0.005139289659013143,-0.004062624987380828,-0.003223340825856415,-0.003167699150643106,-0.0032674333233463984,-0.004324024733511216,-0.005290800892818788,-0.005228295967046948,-0.005325065114803603,-0.005898590419269392,-0.005861077724653065,-0.005073385724881172,-0.004247101406622025,-0.003497870073512146,-0.0028380746381189096,-0.0017527695293150967,-0.0013485384948977253,-0.0011141167116391106,-0.0008241577334057509,-0.0008343987030285507,-0.00048131152184038774
1153.0,136.0,619.0,7.50999992132187,65.52999852180481,4.182508234710333,6.418006067159779,15.9999999666214,0.0,0.0044180082288610145,-0.0885495211780103,-0.08911423525817193,-0.08947430947082462,-0.08962856750455088,-0.09043398889291995,-0.09073561341831679,-0.09118515872590624,-0.09121311208717496,-0.09075954683711158,-0.09172531490035374,-0.09218346626499124,-0.09234302992365559,-0.09284261258432848,-0.09327751369669968,-0.09276281623684597,-0.09189411470200537,-0.09432562207884697,-0.09758136066335578,-0.09688229663537087,-0.09789516492420151,-0.10176022650486867,-0.11084141341526374,-0.11862467577420024,-0.12893731423257862,-0.14419733777280033,-0.16629316111298686,-0.1904504530110517,-0.19971059133959101,-0.1772586211557928,-0.1703525976359528,-0.16183363893347152,-0.1797506554578423,-0.1990112816821668,-0.1775284775753246,-0.1838776616047031,-0.19718392889000524,-0.19849908238297034,-0.17417503241790439,-0.1395235848686398,-0.15155811594887064,-0.1778002215431294,-0.18784687993435856,-0.1547395703625224,-0.14894476126364053,-0.14855289840560862,-0.17627121403288062,-0.1629007382215166,-0.1686148078598916,-0.17052664197865133,-0.1994341093865182,-0.20360537987542288,-0.2076666358347713,-0.20280879924484854,-0.1991715452855645,-0.19551190983284925,-0.19047412733087118,-0.20562920369114565,-0.2038161664401458,-0.16022681963401397,-0.11432689045929477,-0.10384772695678318,-0.09017397052544096,-0.09989882705520056,-0.11045869643598662,-0.11395277027406218,-0.10493463399781112,-0.10661510137617343,-0.10879608001927023,-0.11333374650790225,-0.10131958123314577,-0.08249758770575617,-0.06050227228459122,-0.05244797428449415,-0.046286324823243394,-0.04836900898609876,-0.05014494388171347,-0.049176137548382015,-0.048779890200021936,-0.04948791619156767,-0.04797544399490771,-0.04536905000584531,-0.043057835191022985,-0.03775687334270091,-0.03335178127246059,-0.02998521434345874,-0.026556065815702433,-0.024696083148373776,-0.02294974772896713,-0.020788757983121874,-0.018697093057569034,-0.01726726041702815,-0.016134318047464173,-0.015100657880530954,-0.013884025502798592,-0.012645944618114097,-0.01139725897203848,-0.010678289477276953,-0.010972187472263332,-0.00980040835453194,-0.00885285669819089,-0.008508423755676222,-0.008141726003021724,-0.00765949769081806,-0.007785006695863022,-0.007862171612084634,-0.007734647600190466,-0.007431210056193372,-0.006595151627510472,-0.0057525381875397005,-0.005112380903096444,-0.0026795196052970278
1154.0,136.0,620.0,7.50999992132187,60.42999849796296,4.101485792564028,5.668811343050376,15.9999999666214,0.0,0.024449325738784007,-0.03070026344913859,-0.028793360086430766,-0.02767838366706769,-0.027089690924383278,-0.02419351404111148,-0.025806546205349425,-0.026640825977834147,-0.02792906016215836,-0.028355648931181886,-0.029046833401488663,-0.02634683986740513,-0.02783878010224894,-0.028843126376498357,-0.02976820308262655,-0.027230046636337685,-0.02220489051295181,-0.018906427726006994,-0.02354537771291408,-0.02884413196577269,-0.027364501016203736,-0.024671126368897005,-0.02155859426637312,-0.02469209124774828,-0.020664144741967816,-0.026457567919263215,-0.023874494737521297,-0.028417242514089676,-0.028156975719990228,-0.02848759746332301,-0.02662253107783196,-0.024034050913447305,-0.020504174480753944,-0.026086698099030206,-0.022224804249413033,-0.027175222834306234,-0.030284173606035622,-0.042802907791503864,-0.04697027464562857,-0.0419602951383593,-0.0578580635465253,-0.0689799168966578,-0.07242307829848005,-0.09225666617791181,-0.08969153868307068,-0.07665715389439684,-0.06894459039307642,-0.07476676549847566,-0.07290991697087065,-0.07397136539104426,-0.09056351007891814,-0.09452047303186344,-0.08630839310699233,-0.08926341945097091,-0.08903465502985963,-0.08582165592230692,-0.08937167047398362,-0.08619834522612496,-0.08204275598938837,-0.10444847081734332,-0.10982539944043304,-0.1020015031280571,-0.09394351503748208,-0.08871540706861317,-0.09497194927227232,-0.08792476602269594,-0.10294356081018781,-0.10669407980053396,-0.09743788236545967,-0.09728947793963791,-0.08367936443509957,-0.0569780077319515,-0.07366275187730284,-0.0926343786461201,-0.07254880685172546,-0.07011704292935453,-0.07228788787117678,-0.0695707088649974,-0.06194634921618781,-0.040686870130273584,-0.022494657797991924,-0.021579586045845093,-0.02208337423107949,-0.01996880900872294,-0.01748677354630357,-0.017077254852283452,-0.012763297410159335,-0.01137583760258226,-0.011127615211347832,-0.013252161210837766,-0.01450849192358764,-0.01346432904785408,-0.011112203500740513,-0.009961572140844806,-0.010394547511325191,-0.011136771862964336,-0.012700236171135925,-0.010885237850396443,-0.009863290648608056,-0.008242183699262533,-0.00811842277161783,-0.00679904452677379,-0.005920242650567154,-0.005095847254779581,-0.004202987855402131,-0.0035329590588516575,-0.0022071851464528992,-0.0013728650354655355,-0.0008913340874343891,-0.0005531855036727716,-0.00033996042799665314,-1.7025096937864684e-05
1196.0,137.0,647.0,7.620000023841859,3.120000037252903,1.137833108240245,6.296390849527545,8.000000200271607,3.0,0.06232289970568829,0.014565078428621196,0.02324131784513485,0.018525080178129316,0.02010902342420824,0.04263687113747712,0.04200955151567863,0.023919871767683502,0.043838472233211086,0.0485777969339526,0.014974080846393803,0.01733033083144407,0.030645890507679248,0.03644147998308012,0.04046437735963657,0.04625200586936857,0.05170550180852841,0.04303361517122466,0.01945670728062028,0.04927350351384374,0.04558771736299119,0.03428921999128873,0.04698493733996713,0.044268031935940755,0.04697680929069291,0.047526997613198244,0.04079676719058006,0.027713702148430566,0.04344308851031245,0.07907744748983642,0.05818400090380475,0.039570331251464155,0.0403046744307719,0.028368603485774427,0.017415553721169513,-0.024782065215627563,-0.01785605961499029,0.003546110692339316,0.026288739731583632,0.06165824220028354,0.06372945473217831,0.05158068776338226,0.0320431016272707,-0.005117508248578789,-0.01438452119185421,-0.00035510090103715863,0.004972230230172903,-0.020092059406454837,-0.042247000123312256,-0.06406434681342561,-0.04899435517055507,-0.04409135298678089,-0.055675441674423246,-0.044866336690742095,-0.042501899074134084,-0.047710506462805474,-0.05836546243217988,-0.0730262328525079,-0.053374854281191195,-0.04990605527231568,-0.07165821928949273,-0.06921111398765516,-0.06366831205555763,-0.05934789352012361,-0.035525443843251306,-0.016502231610896465,-0.010053710867617485,-0.006574338636905916,-0.020506454966567472,-0.029654293985265853,-0.02003807767002492,-0.02726857566380203,-0.04351308304322743,-0.03798366017824516,-0.030378130728046227,-0.036108372961936405,-0.03990273486312877,-0.03948078785548402,-0.032477396283668136,-0.04419352806461016,-0.04408406440331476,-0.04500380044977633,-0.04811902475113102,-0.05995650638021595,-0.07411595901071678,-0.07462759827864843,-0.07464394182717402,-0.0723242860131996,-0.06457279311659604,-0.06722537371158646,-0.07122433481729135,-0.06773926901012531,-0.058916404838418285,-0.055576323464085864,-0.05632266184053323,-0.05648452078312397,-0.06319499764854408,-0.05455665479289947,-0.05139626569412892,-0.038769706454288476,-0.03967465765542473,-0.034111563862293325,-0.02637027132974295,-0.022683575724036422,-0.02006878140075742,-0.01758007869616486,-0.01267434713358699,-0.009141489033471057,-0.006599997728099996,-0.004764146886712417,-0.004158394534042571,-0.0022369998328065892
