,Parameters,Minimum,Maximum,Mean,Median,STD,Sample_Skewness,Kurtosis
35,log10(T0.140S),-6.204293735201512,0.5299946730691418,-1.9768527168239105,-1.8086048828878947,1.089189437693964,-0.5753762422444261,-0.035457585269135006
36,log10(T0.150S),-6.197814851715451,0.5202738679092969,-1.9677639455361302,-1.800272241192944,1.0863124941710662,-0.5720957301971722,-0.030136131378130315
37,log10(T0.160S),-6.197506775883633,0.5136037639154608,-1.961230635783017,-1.792204114795291,1.0832699733981426,-0.5662637263311897,-0.03448572226521218
38,log10(T0.170S),-6.176349741178473,0.5235123528028925,-1.956023040866971,-1.7857656509743762,1.0802955349442345,-0.5603245304510097,-0.04112105760328477
39,log10(T0.180S),-6.170786312404013,0.5834368336219379,-1.9528347303827553,-1.7837285070298243,1.0787002772595784,-0.5572040263770527,-0.04466648742040835
40,log10(T0.190S),-6.126173887682798,0.6033609243483805,-1.9501088409312624,-1.7810445822712777,1.076376526232458,-0.5531556220572343,-0.0485971548003179
41,log10(T0.200S),-6.125610965398019,0.6360262759072062,-1.9488621856432145,-1.784441742858838,1.0735419359950717,-0.5484126278672347,-0.05440872228389981
42,log10(T0.220S),-6.115153678801554,0.6805439972498762,-1.9505427777910416,-1.7923925580880862,1.0690622654461766,-0.5349331908962457,-0.08026959356849339
43,log10(T0.240S),-6.059403835316378,0.6600112212893308,-1.956579964498203,-1.8069310839947272,1.066075837275998,-0.5184564784435813,-0.11562724016164916
44,log10(T0.250S),-6.077669062612205,0.6234767184243749,-1.9603636716597201,-1.8148829988574084,1.0654064662986387,-0.5101013112820604,-0.13087328534038312
45,log10(T0.260S),-6.06651777388804,0.5782264914599375,-1.9645662105847514,-1.8218291145511978,1.0647070909210985,-0.5012572427780779,-0.14634026763026098
46,log10(T0.280S),-6.087161757059503,0.6404913749455462,-1.9736735183160399,-1.8351120424520457,1.06365669336326,-0.483511128809535,-0.18371791747349464
47,log10(T0.290S),-6.075974126305024,0.6566060199595836,-1.9787007231184848,-1.8415168873007524,1.0632029113286108,-0.4751102478673387,-0.20278991558564696
48,log10(T0.300S),-6.038132974500674,0.68257825185508,-1.9840803257701591,-1.8528494747899293,1.0627146679307191,-0.4660936974872941,-0.2202088820065744
49,log10(T0.320S),-6.032325684928557,0.7000890411617543,-1.9960292971261597,-1.8691839499652558,1.06153042069233,-0.4474189422473874,-0.2516801536739308
50,log10(T0.340S),-6.035471671341131,0.6116383521225045,-2.009551939036484,-1.8833922560117515,1.06029586757483,-0.43170966079660944,-0.28320172076712247
51,log10(T0.350S),-6.039400808254256,0.5505463114656438,-2.016994861714108,-1.8905902094536347,1.0601556218011408,-0.4236216840199108,-0.2986388095487533
52,log10(T0.360S),-6.040977697965813,0.5027820584422328,-2.024776304421346,-1.9008029446200796,1.0601422872397728,-0.41629582763729556,-0.31077039523051475
53,log10(T0.380S),-6.046109894579177,0.4885930158510194,-2.040630895853113,-1.9196982732060883,1.060687877642589,-0.40317743964781083,-0.3328565590102923
54,log10(T0.400S),-6.0397576081926365,0.5223268407547189,-2.0567117502648027,-1.9407774874703103,1.06184109695141,-0.3901174004385273,-0.35554964253259724
55,log10(T0.420S),-6.024710681836347,0.4184835904314236,-2.0724935312446995,-1.9584099531106334,1.063000944456751,-0.3777380770580031,-0.38311769782540717
56,log10(T0.440S),-6.012262252153326,0.37537093802905847,-2.0885929722141996,-1.9803437746806511,1.0643190264941318,-0.36538194690921344,-0.40758800657771577
57,log10(T0.450S),-6.0060614249052815,0.36997613487242703,-2.096679973021895,-1.9945191900205987,1.0650461774012143,-0.3587711070324123,-0.41818920033220586
58,log10(T0.460S),-6.002456354326868,0.362105319293773,-2.104945168400478,-2.0070225561747264,1.0659943523885178,-0.3520703078494205,-0.42914025135752176
59,log10(T0.480S),-6.002504400341982,0.343644880252506,-2.1213802232863146,-2.0232099877102248,1.0682360246794993,-0.34027738914394506,-0.45047726439833413
60,log10(T0.500S),-6.054452638433736,0.3280328450335252,-2.13739455621413,-2.04248848854552,1.0705989339961663,-0.32878488549535423,-0.4733999922496528
61,log10(T0.550S),-6.0793237180043675,0.30847904016173,-2.176583423879854,-2.0841413110416496,1.0756938954667337,-0.30233230383467385,-0.525891657274355
62,log10(T0.600S),-6.137320133499665,0.3573248827402091,-2.216087652493018,-2.1268364004693394,1.0813127934257425,-0.27852570242021496,-0.573525300455481
63,log10(T0.650S),-6.2082041227400016,0.36053661458329417,-2.2543209393764876,-2.165388579277313,1.0879419061793603,-0.2614181738627351,-0.6106324919301063
64,log10(T0.667S),-6.231139999157043,0.353916230920363,-2.266732898578945,-2.1814508159608086,1.0906463675016203,-0.25613260166147656,-0.6230325082308261
65,log10(T0.700S),-6.273957772460575,0.32528983720755117,-2.290917565881608,-2.2101373699536184,1.0964199993289123,-0.24619229001215673,-0.6457966906377162
66,log10(T0.750S),-6.334025227123071,0.24241718441771903,-2.3275858287435756,-2.250225047850521,1.1031201643025064,-0.23667517265453838,-0.6708801516121157
67,log10(T0.800S),-6.390362910367699,0.198986805670933,-2.363813836154313,-2.289594893731747,1.1098893015270705,-0.22668004634905978,-0.6990258336540895
68,log10(T0.850S),-6.443420121910932,0.16849748352303268,-2.398605826290472,-2.324771746406936,1.1161865103319824,-0.21756236527884648,-0.7236409825390591
69,log10(T0.900S),-6.493427325747486,0.10853119885786873,-2.431659109259663,-2.360981924730432,1.1222157080633717,-0.20895281505459257,-0.7404959214585163
70,log10(T0.950S),-6.540426593895348,0.12681301004155268,-2.4643033658964018,-2.3965091964256393,1.1281652153144264,-0.19939437563523751,-0.756911924885673
71,log10(T1.000S),-6.585227141906669,0.11119528020713085,-2.4959664181937984,-2.4319508926987297,1.1346254993066391,-0.18908710235360876,-0.7776870681656516
72,log10(T1.100S),-6.668370282370068,0.23603314711763596,-2.557222314918572,-2.5029873736476604,1.1472087126950974,-0.17368764725749272,-0.8135142577930372
73,log10(T1.200S),-6.7442693147183705,0.31456237817783883,-2.6150371611274075,-2.5619959085781896,1.1589599059630442,-0.1610799457530384,-0.8492334231235521
74,log10(T1.300S),-6.813976506882554,0.2840696117100832,-2.6686940016747585,-2.621021005829991,1.1707261628333876,-0.15104116738329673,-0.8787203864004791
75,log10(T1.400S),-6.878571481632037,0.18457787493202488,-2.7207453474172056,-2.6764591539019884,1.1815307449448802,-0.14153363153101145,-0.904462261923586
76,log10(T1.500S),-6.938585221722927,0.06981604257199535,-2.7706614995114327,-2.7334625697656936,1.1913992098739001,-0.1332840515390883,-0.9251307237338322
77,log10(T1.600S),-6.994733667027231,0.0038050735650251716,-2.818710105208308,-2.784732656568278,1.2019510993087614,-0.12526409376424438,-0.945887693619214
78,log10(T1.700S),-7.0474690838673695,0.027268042466618694,-2.8642307330682377,-2.8352308969908018,1.211792911713399,-0.11879208620934965,-0.9615148042870172
79,log10(T1.800S),-7.097208693147431,0.03273960520949338,-2.9077353526838388,-2.884356210330059,1.2208746373703505,-0.11277216646327644,-0.974824217461919
80,log10(T1.900S),-7.1441902005322255,0.022180839413665346,-2.9491898194604635,-2.926245001876808,1.228645492821756,-0.10750834658616262,-0.9880161286725233
81,log10(T2.000S),-7.1888273049334455,0.015611204503512367,-2.9895448444264043,-2.9674618207399934,1.2361510954047714,-0.10242454806703256,-0.9991868173760516
82,log10(T2.200S),-7.271638100400769,-0.0693820345103816,-3.065770183339994,-3.05096635859429,1.250614540991993,-0.09001840670597056,-1.0177537168744375
83,log10(T2.400S),-7.347318615236426,-0.17803472594321715,-3.1375394855548997,-3.1292216625547438,1.2643870117050449,-0.080919408481989,-1.0259998319335288
84,log10(T2.500S),-7.382737482908626,-0.2177997911265189,-3.1710865035306077,-3.1633910906412246,1.2714610798258794,-0.07720834568525185,-1.0294550853944036
85,log10(T2.600S),-7.416903291557486,-0.248043801513277,-3.2030779007341854,-3.200005055311286,1.2784051428307202,-0.0733739647292332,-1.0315474412482195
86,log10(T2.800S),-7.481315008106972,-0.3319403927090597,-3.2637708752335075,-3.267397185750365,1.291259092130217,-0.06722557089727275,-1.0337776904816616
87,log10(T3.000S),-7.54118091805397,-0.35076252765039273,-3.321652313829322,-3.328669765633656,1.3025012837290872,-0.06289570098743177,-1.0369972804258625
88,log10(T3.200S),-7.597463508196092,-0.31924761894982506,-3.3763045860085064,-3.3898617295214715,1.3128672062062048,-0.057607002464069426,-1.040457894626823
89,log10(T3.400S),-7.649984701765308,-0.3767093501923351,-3.428211246992794,-3.4429622341177715,1.3234453693785173,-0.05185252782643338,-1.0458981911904761
90,log10(T3.500S),-7.6750799499800815,-0.40165824070956674,-3.452666825086324,-3.468725504934644,1.3286407655868209,-0.049246460548629356,-1.049224932357889
91,log10(T3.600S),-7.699534954459689,-0.450825017048241,-3.4763591602035384,-3.4928055145678196,1.3335020817842436,-0.04698097351245592,-1.0526859557818897
92,log10(T3.800S),-7.746734706309843,-0.517784070207789,-3.5216924671333714,-3.540064983148475,1.3426659849176703,-0.04331228957075557,-1.058697674629282
93,log10(T4.000S),-7.79145115822939,-0.5261482298451848,-3.5647137120988375,-3.591658258845345,1.3510020610846938,-0.038973707410157245,-1.063863107747118
94,log10(T4.200S),-7.833658708016502,-0.5102242719095255,-3.605486969301941,-3.639539128949822,1.3587955066008404,-0.034041781574920056,-1.067252937878801
95,log10(T4.400S),-7.873803632079469,-0.4983930775811706,-3.6441282952967584,-3.6811856512393404,1.3664465697011139,-0.029193120178686572,-1.0707418671313707
