Aleatory Uncertainty,Epistemic Uncertainty
0.32352266,0.04621144
0.3121404,0.04643173
0.31351826,0.050420664
0.3082905,0.04967544
0.30343777,0.051954903
0.32694373,0.055509835
0.33530107,0.053594433
0.3341491,0.05280972
0.33003813,0.052493174
0.33510634,0.051392905
0.32772174,0.050746977
0.33622015,0.04723743
0.33118737,0.04790663
0.32843044,0.046071153
0.34501186,0.048866935
0.35105696,0.050430004
0.33970425,0.04736919
0.3405833,0.049206406
0.34201467,0.047473386
0.34107372,0.048047733
0.35187852,0.048553873
0.35011855,0.04957976
0.3504417,0.047996014
0.33351195,0.04543622
0.3427724,0.04578268
0.33615294,0.04487953
0.33789173,0.04493251
0.35463107,0.047031797
0.362019,0.047439877
0.36814463,0.045761835
0.3603093,0.045519207
0.36122566,0.04460261
0.3631382,0.046967313
0.36864936,0.045731194
0.36202514,0.04510149
0.35929772,0.044504166
0.35710278,0.04319722
0.36817068,0.043609392
0.38045913,0.043016452
0.38247722,0.04379157
0.3732255,0.041418705
0.3735284,0.042606395
0.38405308,0.043789648
0.3886706,0.04308398
0.3950881,0.043722227
0.39595458,0.041707844
0.39088222,0.04355134
0.393927,0.043918535
0.39370507,0.042566895
0.3945796,0.043660346
0.40304065,0.042921778
0.40774718,0.043422565
0.40414834,0.042909704
0.4042109,0.04455009
0.39582387,0.04278607
0.40765893,0.04445016
0.4053205,0.041258477
0.40742722,0.04367716
0.4109009,0.043636788
0.40811113,0.040844154
0.40751612,0.042213004
0.40419868,0.041614838
0.4084076,0.039883543
0.40882784,0.0414014
0.40686718,0.041444868
0.40592083,0.04111346
0.4048189,0.040023033
0.40529543,0.039576665
0.39815545,0.040186066
0.39319485,0.039061688
0.4059696,0.039744124
0.3986653,0.04137834
0.405945,0.038884435
0.4021453,0.040063467
0.39066052,0.041262288
0.3957279,0.04151316
0.39878738,0.040308144
0.3982272,0.041640688
0.39812922,0.03910386
0.40190497,0.040356506
0.40671217,0.04107113
0.40017217,0.041609697
0.4144131,0.042465262
0.41175753,0.03989956
0.40047085,0.041961215
0.4151353,0.042825405
0.41084906,0.041797735
0.4097588,0.041949168
0.41455236,0.04214565
0.41904593,0.043599773
0.421143,0.042703763
0.42228585,0.04100388
0.41604865,0.039999202
0.4101248,0.041109137
0.40517765,0.04012945
0.4046194,0.040729407
0.41096961,0.038834304
0.38798153,0.039469283
0.41306034,0.038587157
0.43070504,0.041668486
0.42275232,0.041273963
0.4264057,0.043012157
0.42599127,0.03986037
0.41305158,0.040767223
0.4189992,0.040882614
0.41938126,0.04008646
0.4347738,0.04086779
0.4115302,0.04232972
0.39984462,0.03938406
0.3991242,0.03925671
0.41269517,0.040532682
0.42341077,0.04019415
0.39490435,0.039725386
0.4163464,0.041158225
0.42873693,0.041815124
0.42938152,0.04033921
0.41675854,0.039412178
0.40901008,0.040981054
0.40601218,0.04051266
0.41560203,0.039225496
0.4078506,0.038750827
0.41924933,0.03924455
0.41739354,0.040827278
